lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 86 [14.1s + 37.7s]: HR = 0.7753, NDCG = 0.4914, loss = 0.1663 [12.7s] train_loss = 0.2511 [4.9s]
Epoch 87 [14.1s + 33.2s]: HR = 0.7761, NDCG = 0.4918, loss = 0.1674 [15.6s] train_loss = 0.2508 [6.6s]
Epoch 88 [14.1s + 37.9s]: HR = 0.7760, NDCG = 0.4919, loss = 0.1677 [17.1s] train_loss = 0.2505 [7.0s]
Epoch 89 [14.1s + 38.5s]: HR = 0.7767, NDCG = 0.4921, loss = 0.1679 [17.1s] train_loss = 0.2502 [6.4s]
Epoch 90 [14.1s + 37.7s]: HR = 0.7767, NDCG = 0.4926, loss = 0.1665 [17.3s] train_loss = 0.2499 [6.3s]
Epoch 91 [14.1s + 42.6s]: HR = 0.7771, NDCG = 0.4926, loss = 0.1667 [16.0s] train_loss = 0.2496 [6.6s]
Epoch 92 [14.1s + 36.9s]: HR = 0.7772, NDCG = 0.4930, loss = 0.1657 [17.9s] train_loss = 0.2493 [7.5s]
Epoch 93 [14.1s + 39.2s]: HR = 0.7768, NDCG = 0.4928, loss = 0.1669 [18.4s] train_loss = 0.2490 [6.7s]
Epoch 94 [14.1s + 41.4s]: HR = 0.7772, NDCG = 0.4933, loss = 0.1656 [18.5s] train_loss = 0.2488 [7.2s]
Epoch 95 [14.1s + 40.6s]: HR = 0.7771, NDCG = 0.4931, loss = 0.1665 [26.6s] train_loss = 0.2485 [7.3s]
Epoch 96 [14.1s + 40.9s]: HR = 0.7776, NDCG = 0.4933, loss = 0.1656 [18.4s] train_loss = 0.2482 [6.7s]
Epoch 97 [14.1s + 43.3s]: HR = 0.7783, NDCG = 0.4935, loss = 0.1670 [17.6s] train_loss = 0.2480 [8.8s]
Epoch 98 [14.1s + 36.2s]: HR = 0.7779, NDCG = 0.4936, loss = 0.1655 [18.7s] train_loss = 0.2477 [6.9s]
Epoch 99 [14.1s + 42.8s]: HR = 0.7784, NDCG = 0.4938, loss = 0.1671 [19.1s] train_loss = 0.2475 [6.6s]
best HR = 0.7784, best NDCG = 0.4938


