lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 75 [18.1s + 28.8s]: HR = 0.7725, NDCG = 0.4898, loss =0.1685 [11.9042s] train_loss =0.2543 [4.7s]
Epoch 76 [18.1s + 29.9s]: HR = 0.7724, NDCG = 0.4901, loss =0.1686 [12.8447s] train_loss =0.2540 [4.7s]
Epoch 77 [18.1s + 30.5s]: HR = 0.7727, NDCG = 0.4905, loss =0.1677 [12.7907s] train_loss =0.2536 [5.0s]
Epoch 78 [18.1s + 30.1s]: HR = 0.7721, NDCG = 0.4903, loss =0.1697 [12.2890s] train_loss =0.2533 [5.0s]
Epoch 79 [18.1s + 30.3s]: HR = 0.7733, NDCG = 0.4910, loss =0.1679 [13.0273s] train_loss =0.2530 [4.6s]
Epoch 80 [18.1s + 33.6s]: HR = 0.7734, NDCG = 0.4910, loss =0.1682 [13.7240s] train_loss =0.2527 [6.0s]
Epoch 81 [18.1s + 33.1s]: HR = 0.7731, NDCG = 0.4909, loss =0.1688 [15.6920s] train_loss =0.2524 [5.6s]
Epoch 82 [18.1s + 29.2s]: HR = 0.7739, NDCG = 0.4912, loss =0.1681 [12.0511s] train_loss =0.2520 [4.5s]
Epoch 83 [18.1s + 28.8s]: HR = 0.7741, NDCG = 0.4915, loss =0.1679 [11.7403s] train_loss =0.2517 [4.6s]
Epoch 84 [18.1s + 31.5s]: HR = 0.7739, NDCG = 0.4913, loss =0.1680 [12.3557s] train_loss =0.2514 [5.2s]
Epoch 85 [18.1s + 30.5s]: HR = 0.7742, NDCG = 0.4916, loss =0.1674 [12.4939s] train_loss =0.2511 [5.3s]
Epoch 86 [18.1s + 28.5s]: HR = 0.7743, NDCG = 0.4919, loss =0.1674 [11.6509s] train_loss =0.2508 [4.5s]
Epoch 87 [18.1s + 29.1s]: HR = 0.7742, NDCG = 0.4919, loss =0.1674 [10.9752s] train_loss =0.2505 [4.6s]
Epoch 88 [18.1s + 30.6s]: HR = 0.7750, NDCG = 0.4923, loss =0.1670 [11.1876s] train_loss =0.2502 [4.9s]
Epoch 89 [18.1s + 27.5s]: HR = 0.7753, NDCG = 0.4923, loss =0.1671 [11.0332s] train_loss =0.2500 [4.3s]
Epoch 90 [18.1s + 28.9s]: HR = 0.7758, NDCG = 0.4922, loss =0.1668 [12.0673s] train_loss =0.2497 [4.9s]
Epoch 91 [18.1s + 28.6s]: HR = 0.7761, NDCG = 0.4925, loss =0.1664 [13.2460s] train_loss =0.2494 [5.6s]
Epoch 92 [18.1s + 29.7s]: HR = 0.7755, NDCG = 0.4924, loss =0.1666 [11.1916s] train_loss =0.2491 [4.3s]
Epoch 93 [18.1s + 28.3s]: HR = 0.7753, NDCG = 0.4925, loss =0.1671 [11.1037s] train_loss =0.2488 [4.4s]
Epoch 94 [18.1s + 29.5s]: HR = 0.7761, NDCG = 0.4930, loss =0.1653 [11.1126s] train_loss =0.2486 [4.4s]
Epoch 95 [18.1s + 29.5s]: HR = 0.7760, NDCG = 0.4932, loss =0.1670 [11.2815s] train_loss =0.2483 [4.3s]
Epoch 96 [18.1s + 28.0s]: HR = 0.7760, NDCG = 0.4934, loss =0.1659 [10.9487s] train_loss =0.2480 [4.3s]
Epoch 97 [18.1s + 27.1s]: HR = 0.7765, NDCG = 0.4936, loss =0.1664 [10.9307s] train_loss =0.2478 [4.3s]
Epoch 98 [18.1s + 27.9s]: HR = 0.7773, NDCG = 0.4942, loss =0.1646 [10.9038s] train_loss =0.2475 [4.3s]
Epoch 99 [18.1s + 28.2s]: HR = 0.7770, NDCG = 0.4943, loss =0.1659 [11.0437s] train_loss =0.2472 [4.3s]
best HR = 0.7773, best NDCG = 0.4942


